Sponsors,State,Number,Count
Dennis Biteman,Wyoming,"[""SF0159'"", ""'SF0172'"", ""'SF0133""]",3
Dennis DeBar,Mississippi,['SB2760'],1
Dennis Guth,Iowa,"[""SF83'"", ""'SF110""]",2
Dennis Linthicum,Oregon,['SB897'],1
Dennis Paul,Texas,"[""HB1686'"", ""'HB23""]",2
Dennis Powers,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB1269'"", ""'HB0030""]",4
Denny Hoskins,Missouri,"[""SB39'"", ""'SB49'"", ""'SB2'"", ""'SB236""]",4
Derek Merrin,Ohio,"[""HB68'"", ""'HB6""]",2
Derek Wulf,Iowa,['HF2'],1
Derrick Van Orden,US,['HB5'],1
Devon Wood,Iowa,['HF2'],1
Dewayne Burns,Texas,"[""HB1686'"", ""'HB23""]",2
Diamond Garcia,Hawaii,"[""HB508'"", ""'HB509'"", ""'HB891""]",3
Diana Harshbarger,US,"[""HB734'"", ""'HR115'"", ""'HB1399'"", ""'HB5""]",4
Diane Larson,North Dakota,['HB1249'],1
Dick Anderson,North Dakota,"[""HB1254'"", ""'HB1474""]",2
Dick Stein,Ohio,"[""HB68'"", ""'HB6""]",2
Dina Neal,Nevada,['SB302'],1
Donald Burkhart,Wyoming,['SF0159'],1
Donald McCabe,South Carolina,"[""H3485'"", ""'H3551'"", ""'H3551""]",3
Donna Campbell,Texas,"[""SB249'"", ""'SB250'"", ""'SB625'"", ""'SCR3'"", ""'SB14'"", ""'SB15""]",6
Donna Henderson,North Dakota,"[""HB1473'"", ""'HCR3010""]",2
Donnie Loftis,North Carolina,['H43'],1
Doug Bankson,Florida,"[""H1223'"", ""'H1421""]",2
Doug Gilliam,South Carolina,"[""H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551'"", ""'H3564'"", ""'H3565""]",6
Doug LaMalfa,US,"[""HB734'"", ""'HR115'"", ""'HB5""]",3
Doug Lamborn,US,"[""HB429'"", ""'HB1399'"", ""'HB5""]",3
Douglas Broxson,Florida,['S0254'],1
Douglas Dubitsky,Connecticut,['HB06213'],1
Doyle Heffley,Pennsylvania,['HB138'],1
Drew Darby,Texas,['HB23'],1
Drew Ferguson,US,['HB5'],1
Drew Springer,Texas,"[""SB14'"", ""'SB15""]",2
Dusty Johnson,US,['HB5'],1
Dwight Loftis,South Carolina,['S0234'],1
Dwight Tosh,Arkansas,"[""HB1156'"", ""'SB43""]",2
Earl Carter,US,"[""HB734'"", ""'HR115'"", ""'HB5""]",3
Ed  Diehl,Oregon,"[""HB2186'"", ""'HB2477'"", ""'HB3137""]",3
Ed Butler,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030'"", ""'HB0878'"", ""'HB0571""]",5
Ed Charbonneau,Indiana,['SB0480'],1
Ed Lewis,Missouri,['HB192'],1
Ed Setzler,Georgia,"[""SB140'"", ""'SB141""]",2
Ed Thompson,Texas,"[""HB1686'"", ""'HB23""]",2
Eddie Andrews,Iowa,['HF2'],1
Eddie Settle,North Carolina,['S49'],1
Edgar Flores,Nevada,['SB302'],1
